Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)	PubMed ID	Kinetics	pH dependence	Redox potential	Site	EC number	Activity regulation	Active site	Binding site	Catalytic activity
A0A257LNM9	unreviewed	A0A257LNM9_9BURK	Phenol hydroxylase	CFE45_06525	Burkholderiales bacterium PBB5	331	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A257QUD8	unreviewed	A0A257QUD8_9PROT	Toluene hydroxylase	B7Z78_06075	Rhodospirillales bacterium 20-60-12	360	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A257R726	unreviewed	A0A257R726_9PROT	Toluene hydroxylase	B7Z76_04385	Acidiphilium sp. 20-67-58	351	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A257UX86	unreviewed	A0A257UX86_9PROT	Toluene hydroxylase	B7Z58_11155	Acidiphilium sp. 37-64-53	360	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A257XD63	unreviewed	A0A257XD63_9PROT	Phenol hydroxylase	B7Z51_04845	Methyloversatilis sp. 12-65-5	330	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A258QGS3	unreviewed	A0A258QGS3_9BURK	Toluene hydroxylase	B7Y54_00945	Polaromonas sp. 35-63-240	361	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A258UI67	unreviewed	A0A258UI67_9BURK	Toluene hydroxylase	B7Y42_00860	Polaromonas sp. 28-63-22	361	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A261D639	unreviewed	A0A261D639_9NOCA	propane 2-monooxygenase (EC 1.14.13.227)	BH683_005330	Williamsia sp. 1138	378	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
A0A261VSM3	unreviewed	A0A261VSM3_9BORD	Toluene hydroxylase	CAL22_00695	Bordetella genomosp. 12	344	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A270PDD7	unreviewed	A0A270PDD7_9PSED	Phenol hydroxylase	CES87_21655	Pseudomonas sp. ERMR1:02	331	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A271KD66	unreviewed	A0A271KD66_9HYPH	Toluene hydroxylase	CIT31_21820	Mesorhizobium wenxiniae	352	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A271LIG6	unreviewed	A0A271LIG6_9HYPH	Toluene hydroxylase	CIT26_21435	Mesorhizobium temperatum	352	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A285Z2G6	unreviewed	A0A285Z2G6_9PSED	Phenol 2-monooxygenase P1 subunit	SAMN05660296_02651	Pseudomonas sp. LAIL14HWK12:I8	331	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A290ZJZ1	unreviewed	A0A290ZJZ1_9RHOO	Phenol hydroxylase	CCZ27_04535	Thauera sp. K11	331	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A290ZKX7	unreviewed	A0A290ZKX7_9RHOO	Toluene monooxygenase	CCZ27_06370	Thauera sp. K11	328	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A290ZMY2	unreviewed	A0A290ZMY2_9RHOO	Phenol hydroxylase	CCZ27_10800	Thauera sp. K11	330	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A290ZN28	unreviewed	A0A290ZN28_9RHOO	Phenol hydroxylase	CCZ27_10665	Thauera sp. K11	330	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A292YQU6	unreviewed	A0A292YQU6_9BACL	Toluene hydroxylase	EFBL_2947	Effusibacillus lacus	336	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A292ZLI4	unreviewed	A0A292ZLI4_SPHSA	Phenol hydroxylase (Phenol hydroxylase, P1 oxygenase component DmpL (EC 1.14.13.7))	EWH10_15500 SFOMI_4309	Sphingobium fuliginis (strain ATCC 27551)	331	phenol 2-monooxygenase activity [GO:0018662]; cellular aromatic compound metabolic process [GO:0006725]	22777343; 23215053					1.14.13.7				
A0A2A2FM69	unreviewed	A0A2A2FM69_9PSED	Phenol hydroxylase	CK507_16975	Pseudomonas sp. WN033	333	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A2A2ZNY8	unreviewed	A0A2A2ZNY8_MYCAV	propane 2-monooxygenase (EC 1.14.13.227)	CKJ66_04405	Mycobacterium avium	359	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
A0A2A3D309	unreviewed	A0A2A3D309_9HYPH	Toluene hydroxylase	CK220_26410	Mesorhizobium sp. WSM3860	352	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A2A3EXN0	unreviewed	A0A2A3EXN0_9NOCA	propane 2-monooxygenase (EC 1.14.13.227)	CJ178_30785	Rhodococcus sp. ACPA4	342	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
A0A2A3EZA9	unreviewed	A0A2A3EZA9_9NOCA	propane 2-monooxygenase (EC 1.14.13.227)	CJ179_42155	Rhodococcus sp. ACS1	368	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
A0A2A3G8A4	unreviewed	A0A2A3G8A4_9NOCA	propane 2-monooxygenase (EC 1.14.13.227)	CJ179_00380	Rhodococcus sp. ACS1	340	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
A0A2A3GBK8	unreviewed	A0A2A3GBK8_9NOCA	propane 2-monooxygenase (EC 1.14.13.227)	CJ177_31575	Rhodococcus sp. ACPA1	368	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
A0A2A3GNK3	unreviewed	A0A2A3GNK3_9NOCA	propane 2-monooxygenase (EC 1.14.13.227)	CJ177_07715	Rhodococcus sp. ACPA1	340	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
A0A2A4CIZ2	unreviewed	A0A2A4CIZ2_9BURK	Phenol hydroxylase	CN645_05895	Burkholderia sp. IDO3	331	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A2A4PKX4	unreviewed	A0A2A4PKX4_9GAMM	Phenol hydroxylase	COB89_02640	Piscirickettsiaceae bacterium	330	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A2A4VEW3	unreviewed	A0A2A4VEW3_9GAMM	Phenol hydroxylase	COB45_05160	Gammaproteobacteria bacterium	332	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A2A4VIY7	unreviewed	A0A2A4VIY7_9GAMM	Phenol hydroxylase	COB45_01410	Gammaproteobacteria bacterium	330	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A2A4W966	unreviewed	A0A2A4W966_9GAMM	Toluene monooxygenase	COB26_00625 COB26_11415	Piscirickettsiaceae bacterium	331	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]	29099490									
A0A2A4WIN1	unreviewed	A0A2A4WIN1_9GAMM	Phenol hydroxylase	COB26_06420	Piscirickettsiaceae bacterium	330	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A2A5BKJ8	unreviewed	A0A2A5BKJ8_9PROT	Phenol hydroxylase	COA93_10405	Alphaproteobacteria bacterium	332	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A2A5CEM5	unreviewed	A0A2A5CEM5_9PROT	Phenol hydroxylase	COA81_06000	Alphaproteobacteria bacterium	332	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A2A5CT03	unreviewed	A0A2A5CT03_9GAMM	Phenol hydroxylase	COA74_12400	Gammaproteobacteria bacterium	331	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A2A5DPY5	unreviewed	A0A2A5DPY5_9PROT	Methane monooxygenase	COA65_08165	Rhodospirillaceae bacterium	384	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A2A5E085	unreviewed	A0A2A5E085_9PROT	Toluene monooxygenase	COA65_00040	Rhodospirillaceae bacterium	344	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A2A5PKA7	unreviewed	A0A2A5PKA7_9GAMM	Phenol hydroxylase	CF596_01165	Acinetobacter sp. YT-02	334	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A2A7UED2	unreviewed	A0A2A7UED2_9NOCA	propane 2-monooxygenase (EC 1.14.13.227)	CRM89_12695	Nocardia sp. FDAARGOS_372	328	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
A0A2A9FJ81	unreviewed	A0A2A9FJ81_9PSEU	propane 2-monooxygenase (EC 1.14.13.227)	ATK36_5877	Amycolatopsis sulphurea	367	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
A0A2A9GSL8	unreviewed	A0A2A9GSL8_9ACTN	propane 2-monooxygenase (EC 1.14.13.227)	B0O41_0475	Propionibacteriaceae bacterium ES.041	368	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
A0A2A9GVN8	unreviewed	A0A2A9GVN8_9ACTN	propane 2-monooxygenase (EC 1.14.13.227)	B0O41_2315	Propionibacteriaceae bacterium ES.041	348	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
A0A2A9L882	unreviewed	A0A2A9L882_9BURK	Phenol 2-monooxygenase P1 subunit	BX604_6034	Burkholderia sp. JKS000303	331	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A2B8B330	unreviewed	A0A2B8B330_9PROT	Toluene hydroxylase	CRT60_20585	Azospirillum palustre	379	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A2C8ZCK1	unreviewed	A0A2C8ZCK1_9BURK	Propane monooxygenase small subunit	SAMN05414139_02017	Burkholderia sp. D7	361	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A2C9A028	unreviewed	A0A2C9A028_9BURK	Methane/Phenol/Toluene Hydroxylase	SAMN05446635_4266	Burkholderia sp. OK233	361	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A2C9DCS6	unreviewed	A0A2C9DCS6_9HYPH	Methane monooxygenase component A beta chain (EC 1.14.13.25)	mmoY HDIA_3874	Hartmannibacter diazotrophicus	350	methane monooxygenase NADH activity [GO:0106317]; methane monooxygenase NADPH activity [GO:0106318]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.25				
A0A2C9T018	unreviewed	A0A2C9T018_9MYCO	propane 2-monooxygenase (EC 1.14.13.227)	MSZK_40490	Mycobacterium sp. shizuoka-1	335	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
A0A2C9T1V0	unreviewed	A0A2C9T1V0_9MYCO	propane 2-monooxygenase (EC 1.14.13.227)	MSZK_47530	Mycobacterium sp. shizuoka-1	344	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
A0A2C9T2D9	unreviewed	A0A2C9T2D9_9MYCO	propane 2-monooxygenase (EC 1.14.13.227)	MSZK_43360	Mycobacterium sp. shizuoka-1	351	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]						1.14.13.227				CATALYTIC ACTIVITY: Reaction=H(+) + NADH + O2 + propane = H2O + NAD(+) + propan-2-ol; Xref=Rhea:RHEA:49992, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:17824, ChEBI:CHEBI:32879, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.13.227; Evidence={ECO:0000256|ARBA:ARBA00001272};
A0A2D1IR83	unreviewed	A0A2D1IR83_9GAMM	Phenol hydroxylase	BS636_11090	Acinetobacter sp. LoGeW2-3	334	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A2D1TK90	unreviewed	A0A2D1TK90_PSEPU	Phenol hydroxylase	CR512_10125	Pseudomonas putida (Arthrobacter siderocapsulatus)	331	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A2D2D5X7	unreviewed	A0A2D2D5X7_METTR	Methane monooxygenase	CQW49_12475	Methylosinus trichosporium OB3b	395	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]	32692178; 34100595; 34910460									
A0A2D4SA92	unreviewed	A0A2D4SA92_9GAMM	Phenol hydroxylase	CMN28_05265	Salinisphaeraceae bacterium	333	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A2D5F8X4	unreviewed	A0A2D5F8X4_9GAMM	Phenol hydroxylase	CME38_04580	Haliea sp	326	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A2D5J805	unreviewed	A0A2D5J805_9RHOB	Toluene hydroxylase	CML66_26430	Paracoccaceae bacterium	353	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A2D5P5D2	unreviewed	A0A2D5P5D2_9PROT	Phenol hydroxylase	CL623_05705	Arcobacter sp	330	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A2D7VPK9	unreviewed	A0A2D7VPK9_9FLAO	Phenol hydroxylase	CMC15_00375	Flavobacteriaceae bacterium	333	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A2D8JYQ3	unreviewed	A0A2D8JYQ3_9HYPH	Phenol hydroxylase	CML23_02285	Rhizobiaceae bacterium	332	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A2E0YUC3	unreviewed	A0A2E0YUC3_9GAMM	Phenol hydroxylase	CME59_04200	Halioglobus sp	328	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A2E1BFG4	unreviewed	A0A2E1BFG4_9HYPH	Phenol hydroxylase	CMH13_24600	Martelella sp	333	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
A0A2E1CWJ3	unreviewed	A0A2E1CWJ3_9PROT	Phenol hydroxylase	CMF31_07400	Kordiimonas sp	333	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; cellular aromatic compound metabolic process [GO:0006725]										
