TITLE	COMPND	SOURCE	NAME	cluster_label
ALPHAFOLD MONOMER V2.0 PREDICTION FOR PYRROLOQUINOLINE-QUINONE2 SYNTHASE (A0A4Q5KZZ8)	MOL_ID: 1;2 MOLECULE: PYRROLOQUINOLINE-QUINONE SYNTHASE;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: METHYLOCOCCACEAE BACTERIUM FWC3;3 ORGANISM_TAXID: 2516328	PYRROLOQUINOLINE-QUINONE SYNTHASE	0
ALPHAFOLD MONOMER V2.0 PREDICTION FOR RIBONUCLEOSIDE-DIPHOSPHATE2 REDUCTASE (C2EPI9)	MOL_ID: 1;2 MOLECULE: RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: LACTOBACILLUS ULTUNENSIS DSM 16047;3 ORGANISM_TAXID: 525365	RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE	1
ALPHAFOLD MONOMER V2.0 PREDICTION FOR FERRITIN-LIKE DOMAIN-CONTAINING2 PROTEIN (A0A7W0LWF5)	MOL_ID: 1;2 MOLECULE: FERRITIN-LIKE DOMAIN-CONTAINING PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: THERMOLEOPHILACEAE BACTERIUM;3 ORGANISM_TAXID: 2732252	FERRITIN-LIKE DOMAIN-CONTAINING PROTEIN	9
ALPHAFOLD MONOMER V2.0 PREDICTION FOR R2-LIKE LIGAND-BINDING OXIDASE2 (A0A7T7CAJ7)	MOL_ID: 1;2 MOLECULE: R2-LIKE LIGAND-BINDING OXIDASE;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: SALICIBIBACTER CIBARIUS;3 ORGANISM_TAXID: 2743000	R2-LIKE LIGAND-BINDING OXIDASE	16
ALPHAFOLD MONOMER V2.0 PREDICTION FOR PHENOL HYDROXYLASE (A0A4S1DGF9)	MOL_ID: 1;2 MOLECULE: PHENOL HYDROXYLASE;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: ACINETOBACTER PITTII;3 ORGANISM_TAXID: 48296	PHENOL HYDROXYLASE	11
ALPHAFOLD MONOMER V2.0 PREDICTION FOR PHOSPHOMETHYLPYRIMIDINE KINASE-2 DOMAIN-CONTAINING PROTEIN (A0A1Y2GE37)	MOL_ID: 1;2 MOLECULE: PHOSPHOMETHYLPYRIMIDINE KINASE-DOMAIN-CONTAINING PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: LOBOSPORANGIUM TRANSVERSALE;3 ORGANISM_TAXID: 64571	PHOSPHOMETHYLPYRIMIDINE KINASE-DOMAIN-CONTAINING PROTEIN	17
ALPHAFOLD MONOMER V2.0 PREDICTION FOR UNCHARACTERIZED PROTEIN2 (A0A2S5VQL7)	MOL_ID: 1;2 MOLECULE: UNCHARACTERIZED PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: CLAVIBACTER MICHIGANENSIS;3 ORGANISM_TAXID: 28447	UNCHARACTERIZED PROTEIN	3
ALPHAFOLD MONOMER V2.0 PREDICTION FOR RIBONUCLEOTIDE-DIPHOSPHATE2 REDUCTASE SUBUNIT BETA (A0A2N5I251)	MOL_ID: 1;2 MOLECULE: RIBONUCLEOTIDE-DIPHOSPHATE REDUCTASE SUBUNIT BETA;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: BACILLUS SP. M6-12;3 ORGANISM_TAXID: 2054166	RIBONUCLEOTIDE-DIPHOSPHATE REDUCTASE SUBUNIT BETA	14
ALPHAFOLD MONOMER V2.0 PREDICTION FOR UNCHARACTERIZED PROTEIN2 (A0A6N8ZAI9)	MOL_ID: 1;2 MOLECULE: UNCHARACTERIZED PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: CHLOROFLEXI BACTERIUM;3 ORGANISM_TAXID: 2026724	UNCHARACTERIZED PROTEIN	3
ALPHAFOLD MONOMER V2.0 PREDICTION FOR DUF4142 DOMAIN-CONTAINING2 PROTEIN (A0A519GA47)	MOL_ID: 1;2 MOLECULE: DUF4142 DOMAIN-CONTAINING PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: RUBRIVIVAX SP;3 ORGANISM_TAXID: 50259	DUF4142 DOMAIN-CONTAINING PROTEIN	17
ALPHAFOLD MONOMER V2.0 PREDICTION FOR METAL-DEPENDENT HYDROLASE2 (A0A5C7L818)	MOL_ID: 1;2 MOLECULE: METAL-DEPENDENT HYDROLASE;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: SINOBACTERACEAE BACTERIUM;3 ORGANISM_TAXID: 1969813	METAL-DEPENDENT HYDROLASE	8
ALPHAFOLD MONOMER V2.0 PREDICTION FOR UNCHARACTERIZED PROTEIN2 (A0A0H2Y8K6)	MOL_ID: 1;2 MOLECULE: UNCHARACTERIZED PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: YERSINIA PESTIS BV. ANTIQUA (STRAIN ANTIQUA);3 ORGANISM_TAXID: 360102	UNCHARACTERIZED PROTEIN	3
ALPHAFOLD MONOMER V2.0 PREDICTION FOR RIBONUCLEOSIDE-DIPHOSPHATE2 REDUCTASE SUBUNIT BETA (Q7MA80)	MOL_ID: 1;2 MOLECULE: RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE SUBUNIT BETA;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: WOLINELLA SUCCINOGENES (STRAIN ATCC 29543 / DSM3 1740 / LMG 7466 / NCTC 11488 / FDC 602W);4 ORGANISM_TAXID: 273121	RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE SUBUNIT BETA	1
ALPHAFOLD MONOMER V2.0 PREDICTION FOR UNCHARACTERIZED PROTEIN2 (A0A1Q7NVG1)	MOL_ID: 1;2 MOLECULE: UNCHARACTERIZED PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: CANDIDATUS ROKUBACTERIA BACTERIUM3 13_1_40CM_2_68_13;4 ORGANISM_TAXID: 1805353	UNCHARACTERIZED PROTEIN	3
ALPHAFOLD MONOMER V2.0 PREDICTION FOR 1,2-PHENYLACETYL-COA EPOXIDASE2 SUBUNIT A (A0A6G3WX77)	MOL_ID: 1;2 MOLECULE: 1,2-PHENYLACETYL-COA EPOXIDASE SUBUNIT A;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: STREPTOMYCES SP. SID7499;3 ORGANISM_TAXID: 2706086	1,2-PHENYLACETYL-COA EPOXIDASE SUBUNIT A	5
ALPHAFOLD MONOMER V2.0 PREDICTION FOR METAL-DEPENDENT HYDROLASE-LIKE2 PROTEIN (A7HUG2)	MOL_ID: 1;2 MOLECULE: METAL-DEPENDENT HYDROLASE-LIKE PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: PARVIBACULUM LAVAMENTIVORANS (STRAIN DS-1 / DSM3 13023 / NCIMB 13966);4 ORGANISM_TAXID: 402881	METAL-DEPENDENT HYDROLASE-LIKE PROTEIN	8
ALPHAFOLD MONOMER V2.0 PREDICTION FOR RIBONUCLEOSIDE-DIPHOSPHATE2 REDUCTASE SUBUNIT BETA (A0A0Q9H4T8)	MOL_ID: 1;2 MOLECULE: RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE SUBUNIT BETA;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: BOSEA SP. ROOT381;3 ORGANISM_TAXID: 1736524	RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE SUBUNIT BETA	1
ALPHAFOLD MONOMER V2.0 PREDICTION FOR THIAMINE-PHOSPHATE SYNTHASE2 (A0A087ECN2)	MOL_ID: 1;2 MOLECULE: THIAMINE-PHOSPHATE SYNTHASE;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: BIFIDOBACTERIUM TSURUMIENSE;3 ORGANISM_TAXID: 356829	THIAMINE-PHOSPHATE SYNTHASE	16
ALPHAFOLD MONOMER V2.0 PREDICTION FOR 1,2-PHENYLACETYL-COA EPOXIDASE2 SUBUNIT A (A0A7X9ZCL4)	MOL_ID: 1;2 MOLECULE: 1,2-PHENYLACETYL-COA EPOXIDASE SUBUNIT A;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: ACHROMOBACTER SP. BEL;3 ORGANISM_TAXID: 2727415	1,2-PHENYLACETYL-COA EPOXIDASE SUBUNIT A	5
ALPHAFOLD MONOMER V2.0 PREDICTION FOR METHYL-ACCEPTING CHEMOTAXIS2 PROTEIN (A0A7W5MWH7)	MOL_ID: 1;2 MOLECULE: METHYL-ACCEPTING CHEMOTAXIS PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: NOVOSPHINGOBIUM SP. BK369;3 ORGANISM_TAXID: 2587108	METHYL-ACCEPTING CHEMOTAXIS PROTEIN	13
ALPHAFOLD MONOMER V2.0 PREDICTION FOR UNCHARACTERIZED PROTEIN2 (A0A7V1VZ32)	MOL_ID: 1;2 MOLECULE: UNCHARACTERIZED PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: DEHALOCOCCOIDIA BACTERIUM;3 ORGANISM_TAXID: 2026734	UNCHARACTERIZED PROTEIN	3
ALPHAFOLD MONOMER V2.0 PREDICTION FOR UNCHARACTERIZED PROTEIN YUKE2 (A0A7W7FUQ4)	MOL_ID: 1;2 MOLECULE: UNCHARACTERIZED PROTEIN YUKE;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: CROSSIELLA CRYOPHILA;3 ORGANISM_TAXID: 43355	UNCHARACTERIZED PROTEIN YUKE	16
ALPHAFOLD MONOMER V2.0 PREDICTION FOR UNCHARACTERIZED PROTEIN2 (N1PJ37)	MOL_ID: 1;2 MOLECULE: UNCHARACTERIZED PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: DOTHISTROMA SEPTOSPORUM (STRAIN NZE10 / CBS3 128990);4 ORGANISM_TAXID: 675120	UNCHARACTERIZED PROTEIN	3
ALPHAFOLD MONOMER V2.0 PREDICTION FOR HELIX-TURN-HELIX2 TRANSCRIPTIONAL REGULATOR (A0A849MD82)	MOL_ID: 1;2 MOLECULE: HELIX-TURN-HELIX TRANSCRIPTIONAL REGULATOR;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: CALDITRICHAEOTA BACTERIUM;3 ORGANISM_TAXID: 2212469	HELIX-TURN-HELIX TRANSCRIPTIONAL REGULATOR	16
ALPHAFOLD MONOMER V2.0 PREDICTION FOR UNCHARACTERIZED PROTEIN2 (A0A7K1BWB5)	MOL_ID: 1;2 MOLECULE: UNCHARACTERIZED PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: ACTINOBACTERIA BACTERIUM;3 ORGANISM_TAXID: 1883427	UNCHARACTERIZED PROTEIN	3
ALPHAFOLD MONOMER V2.0 PREDICTION FOR DUF305 DOMAIN-CONTAINING2 PROTEIN (A0A4U3KV09)	MOL_ID: 1;2 MOLECULE: DUF305 DOMAIN-CONTAINING PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: ILYOMONAS LIMI;3 ORGANISM_TAXID: 2575867	DUF305 DOMAIN-CONTAINING PROTEIN	17
ALPHAFOLD MONOMER V2.0 PREDICTION FOR PHENYLACETATE-COA OXYGENASE2 SUBUNIT PAAI (A0A3M1PJF0)	MOL_ID: 1;2 MOLECULE: PHENYLACETATE-COA OXYGENASE SUBUNIT PAAI;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: ALPHAPROTEOBACTERIA BACTERIUM;3 ORGANISM_TAXID: 1913988	PHENYLACETATE-COA OXYGENASE SUBUNIT PAAI	6
ALPHAFOLD MONOMER V2.0 PREDICTION FOR RIBONUCLEOSIDE-DIPHOSPHATE2 REDUCTASE (A0A090PDC4)	MOL_ID: 1;2 MOLECULE: RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: NONLABENS ULVANIVORANS;3 ORGANISM_TAXID: 906888	RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE	1
ALPHAFOLD MONOMER V2.0 PREDICTION FOR HISTIDINE KINASE (A0A7Y4ZTJ1)	MOL_ID: 1;2 MOLECULE: HISTIDINE KINASE;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: POLYANGIACEAE BACTERIUM;3 ORGANISM_TAXID: 2268199	HISTIDINE KINASE	7
ALPHAFOLD MONOMER V2.0 PREDICTION FOR UNCHARACTERIZED PROTEIN2 (A0A382EF83)	MOL_ID: 1;2 MOLECULE: UNCHARACTERIZED PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: MARINE METAGENOME;3 ORGANISM_TAXID: 408172	UNCHARACTERIZED PROTEIN	3
ALPHAFOLD MONOMER V2.0 PREDICTION FOR PROBABLE G-PROTEIN COUPLED2 RECEPTOR NO9 (A0A6P4YSJ0)	MOL_ID: 1;2 MOLECULE: PROBABLE G-PROTEIN COUPLED RECEPTOR NO9;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: BRANCHIOSTOMA BELCHERI;3 ORGANISM_TAXID: 7741	PROBABLE G-PROTEIN COUPLED RECEPTOR NO9	16
ALPHAFOLD MONOMER V2.0 PREDICTION FOR PUTATIVE RIBONUCLEOTIDE2 REDUCTASE SMALL SUBUNIT (A0A0G2EFW0)	MOL_ID: 1;2 MOLECULE: PUTATIVE RIBONUCLEOTIDE REDUCTASE SMALL SUBUNIT;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: PHAEOMONIELLA CHLAMYDOSPORA;3 ORGANISM_TAXID: 158046	PUTATIVE RIBONUCLEOTIDE REDUCTASE SMALL SUBUNIT	14
ALPHAFOLD MONOMER V2.0 PREDICTION FOR UNCHARACTERIZED PROTEIN2 (A0A847F5K2)	MOL_ID: 1;2 MOLECULE: UNCHARACTERIZED PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: SANDARACINACEAE BACTERIUM;3 ORGANISM_TAXID: 2510337	UNCHARACTERIZED PROTEIN	3
ALPHAFOLD MONOMER V2.0 PREDICTION FOR INTEGRAL MEMBRANE2 PHOSPHODIESTERASE (B5H0Q4)	MOL_ID: 1;2 MOLECULE: INTEGRAL MEMBRANE PHOSPHODIESTERASE;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: STREPTOMYCES CLAVULIGERUS;3 ORGANISM_TAXID: 1901	INTEGRAL MEMBRANE PHOSPHODIESTERASE	16
ALPHAFOLD MONOMER V2.0 PREDICTION FOR TOLUENE O-XYLENE MONOOXYGENASE2 COMPONENT (Q6IV66)	MOL_ID: 1;2 MOLECULE: TOLUENE O-XYLENE MONOOXYGENASE COMPONENT;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: PSEUDOMONAS SP. OX1;3 ORGANISM_TAXID: 320855	TOLUENE O-XYLENE MONOOXYGENASE COMPONENT	10
ALPHAFOLD MONOMER V2.0 PREDICTION FOR TRANSCRIPTIONAL ACTIVATOR,2 PUTATIVE (D5BN20)	MOL_ID: 1;2 MOLECULE: TRANSCRIPTIONAL ACTIVATOR, PUTATIVE;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: PUNICEISPIRILLUM MARINUM (STRAIN IMCC1322);3 ORGANISM_TAXID: 488538	TRANSCRIPTIONAL ACTIVATOR, PUTATIVE	16
ALPHAFOLD MONOMER V2.0 PREDICTION FOR 1,2-PHENYLACETYL-COA EPOXIDASE2 SUBUNIT A (A0A367FLN0)	MOL_ID: 1;2 MOLECULE: 1,2-PHENYLACETYL-COA EPOXIDASE SUBUNIT A;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: SPHAERISPORANGIUM ALBUM;3 ORGANISM_TAXID: 509200	1,2-PHENYLACETYL-COA EPOXIDASE SUBUNIT A	5
ALPHAFOLD MONOMER V2.0 PREDICTION FOR 5'-PHOSPHORIBOSYLGLYCINAMIDE2 TRANSFORMYLASE (A0A4U6XV68)	MOL_ID: 1;2 MOLECULE: 5'-PHOSPHORIBOSYLGLYCINAMIDE TRANSFORMYLASE;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: COLLETOTRICHUM TANACETI;3 ORGANISM_TAXID: 1306861	5'-PHOSPHORIBOSYLGLYCINAMIDE TRANSFORMYLASE	16
ALPHAFOLD MONOMER V2.0 PREDICTION FOR UNCHARACTERIZED PROTEIN2 (A0A0E3U5L4)	MOL_ID: 1;2 MOLECULE: UNCHARACTERIZED PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: PANDORAEA OXALATIVORANS;3 ORGANISM_TAXID: 573737	UNCHARACTERIZED PROTEIN	3
ALPHAFOLD MONOMER V2.0 PREDICTION FOR UNCHARACTERIZED PROTEIN2 (A0A3M7NWX6)	MOL_ID: 1;2 MOLECULE: UNCHARACTERIZED PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: CHAETOTHYRIALES SP. CBS 134916;3 ORGANISM_TAXID: 2249418	UNCHARACTERIZED PROTEIN	3
ALPHAFOLD MONOMER V2.0 PREDICTION FOR PHENYLACETATE-COA OXYGENASE,2 PAAI SUBUNIT (D9XMD7)	MOL_ID: 1;2 MOLECULE: PHENYLACETATE-COA OXYGENASE, PAAI SUBUNIT;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: STREPTOMYCES GRISEOFLAVUS TU4000;3 ORGANISM_TAXID: 467200	PHENYLACETATE-COA OXYGENASE, PAAI SUBUNIT	6
ALPHAFOLD MONOMER V2.0 PREDICTION FOR FERRITIN-LIKE DOMAIN-CONTAINING2 PROTEIN (A0A7V1IKQ2)	MOL_ID: 1;2 MOLECULE: FERRITIN-LIKE DOMAIN-CONTAINING PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: DELTAPROTEOBACTERIA BACTERIUM;3 ORGANISM_TAXID: 2026735	FERRITIN-LIKE DOMAIN-CONTAINING PROTEIN	9
ALPHAFOLD MONOMER V2.0 PREDICTION FOR UNCHARACTERIZED PROTEIN2 (A0A2D6BQH2)	MOL_ID: 1;2 MOLECULE: UNCHARACTERIZED PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: DELTAPROTEOBACTERIA BACTERIUM;3 ORGANISM_TAXID: 2026735	UNCHARACTERIZED PROTEIN	3
ALPHAFOLD MONOMER V2.0 PREDICTION FOR TENA_THI-4 DOMAIN-CONTAINING2 PROTEIN (A0A382KGS0)	MOL_ID: 1;2 MOLECULE: TENA_THI-4 DOMAIN-CONTAINING PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: MARINE METAGENOME;3 ORGANISM_TAXID: 408172	TENA_THI-4 DOMAIN-CONTAINING PROTEIN	17
ALPHAFOLD MONOMER V2.0 PREDICTION FOR FERRITIN-LIKE DOMAIN-CONTAINING2 PROTEIN (A0A534NWT9)	MOL_ID: 1;2 MOLECULE: FERRITIN-LIKE DOMAIN-CONTAINING PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: DELTAPROTEOBACTERIA BACTERIUM;3 ORGANISM_TAXID: 2026735	FERRITIN-LIKE DOMAIN-CONTAINING PROTEIN	9
ALPHAFOLD MONOMER V2.0 PREDICTION FOR IRON-CONTAINING REDOX ENZYME2 (A0A1H5UK77)	MOL_ID: 1;2 MOLECULE: IRON-CONTAINING REDOX ENZYME;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: JHAORIHELLA THERMOPHILA;3 ORGANISM_TAXID: 488547	IRON-CONTAINING REDOX ENZYME	16
ALPHAFOLD MONOMER V2.0 PREDICTION FOR RIR2 REDUCTASE (A0A851Q3W0)	MOL_ID: 1;2 MOLECULE: RIR2 REDUCTASE;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: ANHINGA ANHINGA;3 ORGANISM_TAXID: 56067	RIR2 REDUCTASE	16
ALPHAFOLD MONOMER V2.0 PREDICTION FOR UNCHARACTERIZED PROTEIN2 (A0A1W9J0B2)	MOL_ID: 1;2 MOLECULE: UNCHARACTERIZED PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: NITROSPIRA SP. ST-BIN5;3 ORGANISM_TAXID: 1978765	UNCHARACTERIZED PROTEIN	3
ALPHAFOLD MONOMER V2.0 PREDICTION FOR UNCHARACTERIZED PROTEIN2 (A0A841Q8B4)	MOL_ID: 1;2 MOLECULE: UNCHARACTERIZED PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: SALIRHABDUS EUZEBYI;3 ORGANISM_TAXID: 394506	UNCHARACTERIZED PROTEIN	3
ALPHAFOLD MONOMER V2.0 PREDICTION FOR UNCHARACTERIZED PROTEIN2 (A0A6V7Q0A1)	MOL_ID: 1;2 MOLECULE: UNCHARACTERIZED PROTEIN;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: ANANAS COMOSUS VAR. BRACTEATUS;3 ORGANISM_TAXID: 296719	UNCHARACTERIZED PROTEIN	3
ALPHAFOLD MONOMER V2.0 PREDICTION FOR RING-1,2-PHENYLACETYL-COA2 EPOXIDASE SUBUNIT PAAA (A0A1I1M345)	MOL_ID: 1;2 MOLECULE: RING-1,2-PHENYLACETYL-COA EPOXIDASE SUBUNIT PAAA;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: MICROMONOSPORA SEDIMINIMARIS;3 ORGANISM_TAXID: 547162	RING-1,2-PHENYLACETYL-COA EPOXIDASE SUBUNIT PAAA	5
ALPHAFOLD MONOMER V2.0 PREDICTION FOR AMINOPYRIMIDINE AMINOHYDROLASE2 (A0A3D4KIX5)	MOL_ID: 1;2 MOLECULE: AMINOPYRIMIDINE AMINOHYDROLASE;3 CHAIN: A	MOL_ID: 1;2 ORGANISM_SCIENTIFIC: PSYCHROBACTER SP;3 ORGANISM_TAXID: 56811	AMINOPYRIMIDINE AMINOHYDROLASE	12
